Country/Region,Official language,Regional language,Minority language,National language,Widely spoken
Abkhazia[a],Abkhaz Russian,,Georgian,Abkhaz,
Afghanistan[1],Persian (Dari) Pashto,Uzbek[b] Turkmen[b] Pashayi[b] Nuristani[b] Balochi[b] Pamiri[b],,Persian (Dari) Pashto,Persian (Dari)
Albania[2],Albanian,,Greek Macedonian Aromanian,,Italian
Algeria[3],Arabic Berber,,,Arabic Berber,
Andorra,Catalan[4],,Spanish French Portuguese,,
Angola[5],Portuguese,,,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela[citation needed],Angolan Portuguese
Antigua and Barbuda,English[6],,,,Antiguan and Barbudan Creole
Argentina,None (Spanish has de facto status),Spanish (in Corrientes and Chaco)[7][8] Guaraní (in Corrientes)[7] Kom (in Chaco)[8] Moquoit (in Chaco)[8] Wichi (in Chaco)[8],,,Argentine Spanish
Armenia,Armenian,,,Armenian (state language)[9],
Artsakh[a],Armenian Russian,,,,
Australia,None (English has de facto status),Norfuk language (on Norfolk island),,,
Austria[10][11],German,Burgenland Croatian (parts of Burgenland) Hungarian (parts of Burgenland) Slovene (parts of Carinthia),Slovene Czech Hungarian Slovak Romani Serbian,German (state language),
Azerbaijan,Azerbaijani,,,Azerbaijani (state language)[12],
Bahamas,English,,,,
Bahrain,Arabic,,English,,
Bangladesh,Bengali,Sylheti Chittagonian,,"Bengali, Sylheti,Chittagonian",English
Barbados,English,,,,
Belarus,Belarusian Russian,,,Belarusian,
Belgium,Dutch French German,"Dutch (Flanders, Brussels)[13] French (Brussels, Wallonia)[13] German (German-speaking community)[13]",,,
Belize,English,Spanish (border with Mexico and Guatemala),,,Kriol (lingua franca)
Benin,French,,,,
Bhutan,Dzongkha,,,,
Bolivia[14],Castilian (Spanish) Aymara Araona Baure Bésiro (Chiquitano) Canichana Cavineño Cayubaba Chácobo Chimán Ese Ejja Guaraní Guarasu'we Guarayu Itonama Leco Machajuyai-Kallawaya Machineri Maropa Mojeño-Ignaciano Mojeño-Trinitario Moré Mosetén Movima Pacawara Puquina Quechua Sirionó Tacana Tapieté Toromona Uru-Chipaya Weenhayek Yaminawa Yuki Yuracaré Zamuco,,,,
Bosnia and Herzegovina,"None (Bosnian, Croatian and Serbian all have de facto status)[15]",,,,
Botswana,English,,,Tswana,Other Bantu languages Several Khoisan languages
Brazil,Portuguese[16],"German (in Pomerode[17]) East Pomeranian (in Pancas,[18][19] Santa Maria de Jetibá,[20][21][22] Domingos Martins,[23] Itarana,[24][25] Laranja da Terra,[23] Vila Pavão[23] and Canguçu[23]) Riograndenser Hunsrückisch (in Antônio Carlos, Santa Catarina,[26] and in Santa Maria do Herval, Rio Grande do Sul[27][28][29][30]) Talian (in Bento Gonçalves,[31][32][33] Caxias do Sul,[34] Flores da Cunha[35][36][37] Nova Roma do Sul[38][39] and Serafina Corréa[40]) Nheengatu, Baniwa, Tucano (in São Gabriel de Cachoeira, Amazonas)[41][42] Guaraní (in Tacuru, Mato Grosso do Sul)[43]",,Portuguese,
Brunei,Malay,,,,
Bulgaria,Bulgarian,,,,
Burkina Faso,French,,,Fula Jula More,
Burundi[44][45],French Kirundi English,,,Kirundi,Swahili
Cambodia,Khmer,,,,
Cameroon,English French,,,,
Canada,English (Federal) French (Federal),Chipewyan (Northwest Territories) Cree (Northwest Territories) Gwich'in (Northwest Territories) Inuinnaqtun (Northwest Territories and Nunavut) Inuktitut (Northwest Territories and Nunavut) Inuvialuktun (Northwest Territories) Mi'kmaq (Nova Scotia) North Slavey (Northwest Territories) South Slavey (Northwest Territories) Tłı̨chǫ (Northwest Territories),Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun Mi'kmaq North Slavey South Slavey Tłı̨chǫ,,
Cape Verde,Portuguese,,,Cape Verdean Creole,
Central African Republic,French Sango,,,,
Chad,Arabic French,,,,
Chile,Chilean Spanish,(Languages of ethnic groups are official in their territories)[46],,Chilean Spanish,
China,Standard Chinese,English (Hong Kong) Portuguese (Macau),Mongolian Uyghur Tibetan Zhuang Kazakh Korean,,Other Sinitic languages
Christmas Island,"English, Mandarin Chinese, Malay",,,,
Cocos (Keeling) Islands,"English, Cocos Malay",,,,Malay
Colombia,Spanish,(Languages of ethnic groups are official in their territories)[47],,,
Comoros,Arabic Comorian French,,,,
Democratic Republic of the Congo,French,,Lingala Kikongo,Swahili Tshiluba,
Republic of the Congo,French,,Lingala Munukutuba,,
Cook Islands,"English, Cook Islands Māori",,,,
Costa Rica,Spanish,,Indigenous languages[48] Limonese Creole[49],,
Croatia,Croatian,Serbian Hungarian Czech Slovak Pannonian Rusyn Istro-Romanian (protected[clarification needed]),,Italian (Istria County) Romani (non-territorial) Slovene (non-territorial),
Cuba,Spanish,,,,
Cyprus,Greek[50] Turkish[50],,,Armenian[51] Cypriot Arabic[51],English
Czech Republic,Czech[c] Slovak[c],,Belarusian[d] Bulgarian[d] Croatian[d] German[d] Greek[d] Hungarian[d] Polish[d] Romani[d] Russian[d] Rusyn[d] Serbian[d] Ukrainian[d] Vietnamese[d],Czech,
Denmark,Danish,Faroese (in the Faroe Islands) Kalaallisut (in Greenland),German (in Southern Jutland),,English
Djibouti,Arabic French,,,,
Dominica,English,,,,
Dominican Republic,Spanish,,,,
East Timor,Portuguese[52] Tetum[52],,,,
Ecuador[53],Spanish Quechua (official language of intercultural relation),,Kichwa (official minority language) Shuar (official minority language),,
